#古籍字	Unicode	序号
覒	08992	06936
袤	088A4	06937
鄚	0911A	06938
帽	05E3D	06939
貿	08CBF	06940
媢	05AA2	06941
瑁	07441	06942
𣔺	2353A	06943
楙	06959	06944
毷	06BF7	06945
愗	06117	06946
𤲰	24CB0	06947
貌	08C8C	06948
鄮	0912E	06949
瞀	07780	06950
蝐	08750	06951
䫉	04AC9	06952
懋	061CB	06953
呅	05445	06954
玫	073AB	06955
苺	082FA	06956
枚	0679A	06957
眉	07709	06958
莓	08393	06959
脄	08104	06960
梅	06885	06961
脢	08122	06962
郿	090FF	06963
堳	05833	06964
嵋	05D4B	06965
猸	07338	06966
湄	06E44	06967
媒	05A92	06968
瑂	07442	06969
楣	06963	06970
腜	0815C	06971
煤	07164	06972
溦	06EA6	06973
禖	07996	06974
酶	09176	06975
塺	0587A	06976
霉	09709	06977
鋂	092C2	06978
徾	05FBE	06979
攗	06517	06980
𪃏	2A0CF	06981
蘪	0862A	06982
鶥	09DA5	06983
黴	09EF4	06984
𪎭	2A3AD	06985
每	06BCF	06986
美	07F8E	06987
挴	06334	06988
浼	06D7C	06989
渼	06E3C	06990
媺	05ABA	06991
燘	071D8	06992
黣	09EE3	06993
沬	06CAC	06994
妹	059B9	06995
昧	06627	06996
䀛	0401B	06997
袂	08882	06998
眛	0771B	06999
鬽	09B3D	07000
痗	075D7	07001
寐	05BD0	07002
媚	05A9A	07003
煝	0715D	07004
魅	09B45	07005
韎	097CE	07006
蝞	0875E	07007
篃	07BC3	07008
嚜	0569C	07009
䉋	0424B	07010
門	09580	07011
捫	0636B	07012
璊	0748A	07013
𣯩	23BE9	07014
穈	07A48	07015
𧄸	27138	07016
們	05011	07017
悶	060B6	07018
燜	071DC	07019
懣	061E3	07020
甿	0753F	07021
氓	06C13	07022
虻	0867B	07023
莔	08394	07024
冡	051A1	07025
萌	0840C	07026
𧊷	272B7	07027
蒙	08499	07028
盟	076DF	07029
𢄐	22110	07030
甍	0750D	07031
蕄	08544	07032
瞢	077A2	07033
鄸	09138	07034
鄳	09133	07035
儚	0511A	07036
㠓	03813	07037
幪	05E6A	07038
濛	06FDB	07039
懞	061DE	07040
氋	06C0B	07041
檬	06AAC	07042
曚	066DA	07043
朦	06726	07044
礞	0791E	07045
矇	077C7	07046
𥣛	258DB	07047
艨	08268	07048
霿	0973F	07049
饛	0995B	07050
䰒	04C12	07051
𩦺	299BA	07052
鼆	09F06	07053
鸏	09E0F	07054
䲛	04C9B	07055
猛	0731B	07056
瓾	074FE	07057
黽	09EFD	07058
蜢	08722	07059
艋	0824B	07060
獴	07374	07061
𥋝	252DD	07062
懵	061F5	07063
蠓	08813	07064
孟	05B5F	07065
𠵼	20D7C	07066
夢	05922	07067
懜	061DC	07068
㝱	03771	07069
眯	0772F	07070
瞇	07787	07071
𢇲	221F2	07072
冞	0519E	07073
迷	08FF7	07074
䍘	04358	07075
謎	08B0E	07076
糜	07CDC	07077
縻	07E3B	07078
麋	09E8B	07079
彌	05F4C	07080
䕷	04577	07081
𡄣	21123	07082
獼	0737C	07083
麛	09E9B	07084
㜷	03737	07085
𪓬	2A4EC	07086
攠	06520	07087
蘼	0863C	07088
爢	07222	07089
醾	091BE	07090
鸍	09E0D	07091
䥸	04978	07092
米	07C73	07093
芈	08288	07094
侎	04F8E	07095
洣	06D23	07096
弭	05F2D	07097
敉	06549	07098
葞	0845E	07099
渳	06E33	07100
蔝	0851D	07101
䱊	04C4A	07102
濔	06FD4	07103
靡	09761	07104
瀰	07030	07105
㠧	03827	07106
灖	07056	07107
孊	05B4A	07108
冖	05196	07109
糸	07CF8	07110
汨	06C68	07111
宓	05B93	07112
峚	05CDA	07113
祕	07955	07114
秘	079D8	07115
覓	08993	07116
密	05BC6	07117
䖑	04591	07118
幂	05E42	07119
塓	05853	07120
蓂	084C2	07121
幎	05E4E	07122
覛	0899B	07123
蔤	08524	07124
嘧	05627	07125
漞	06F1E	07126
滵	06EF5	07127
蜜	0871C	07128
鼏	09F0F	07129
冪	051AA	07130
𧜀	27700	07131
𥉿	2527F	07132
濗	06FD7	07133
幦	05E66	07134
䤉	04909	07135
謐	08B10	07136
羃	07F83	07137
簚	07C1A	07138
𤑺	2447A	07139
宀	05B80	07140
芇	08287	07141
眠	07720	07142
棉	068C9	07143
媔	05A94	07144
綿	07DBF	07145
蝒	08752	07146
緜	07DDC	07147
檰	06AB0	07148
櫋	06ACB	07149
矊	077CA	07150
丏	04E0F	07151
免	0514D	07152
沔	06C94	07153
眄	07704	07154
勉	052C9	07155
㝃	03743	07156
娩	05A29	07157
勔	052D4	07158
冕	05195	07159
偭	0506D	07160
葂	08442	07161
湎	06E4E	07162
愐	06110	07163
腼	0817C	07164
緬	07DEC	07165
䤄	04904	07166
鮸	09BB8	07167
面	09762	07168
㴐	03D10	07169
湣	06E63	07170
麪	09EAA	07171
𥻩	25EE9	07172
麵	09EB5	07173
苗	082D7	07174
䖢	045A2	07175
描	063CF	07176
媌	05A8C	07177
瞄	07784	07178
杪	0676A	07179
䏚	043DA	07180
眇	07707	07181
秒	079D2	07182
淼	06DFC	07183
渺	06E3A	07184
篎	07BCE	07185
緲	07DF2	07186
邈	09088	07187
𪃧	2A0E7	07188
𢤧	22927	07189
妙	05999	07190
庙	05E99	07191
玅	07385	07192
庿	05EBF	07193
廟	05EDF	07194
乜	04E5C	07195
咪	054AA	07196
哶	054F6	07197
烕	070D5	07198
𥾝	25F9D	07199
𤊾	242BE	07200
覕	08995	07201
搣	06423	07202
滅	06EC5	07203
𡟬	217EC	07204
蔑	08511	07205
薎	0858E	07206
幭	05E6D	07207
篾	07BFE	07208
懱	061F1	07209
䁾	0407E	07210
蠛	0881B	07211
衊	0884A	07212
鱴	09C74	07213
民	06C11	07214
玟	0739F	07215
旼	065FC	07216
旻	065FB	07217
岷	05CB7	07218
忞	05FDE	07219
珉	073C9	07220
罠	07F60	07221
琘	07418	07222
𦳜	26CDC	07223
碈	07888	07224
痻	075FB	07225
緍	07DCD	07226
錉	09309	07227
𪂆	2A086	07228
䡻	0487B	07229
皿	076BF	07230
抿	062BF	07231
泯	06CEF	07232
笢	07B22	07233
敏	0654F	07234
閔	09594	07235
暋	0668B	07236
愍	0610D	07237
閩	095A9	07238
𤛎	246CE	07239
慜	0615C	07240
僶	050F6	07241
憫	061AB	07242
簢	07C22	07243
蠠	08820	07244
鰵	09C35	07245
名	0540D	07246
明	0660E	07247
茗	08317	07248
眀	07700	07249
洺	06D3A	07250
冥	051A5	07251
眳	07733	07252
𥹆	25E46	07253
鄍	0910D	07254
溟	06E9F	07255
嫇	05AC7	07256
榠	069A0	07257
暝	0669D	07258
鳴	09CF4	07259
銘	09298	07260
瞑	07791	07261
螟	0879F	07262
覭	089AD	07263
䳟	04CDF	07264
酩	09169	07265
命	0547D	07266
詺	08A7A	07267
䒌	0448C	07268
𩸍	29E0D	07269
謬	08B2C	07270
摸	06478	07271
𢂳	220B3	07272
嫫	05AEB	07273
摹	06479	07274
模	06A21	07275
膜	0819C	07276
麽	09EBD	07277
摩	06469	07278
橅	06A45	07279
磨	078E8	07280
糢	07CE2	07281
謨	08B28	07282
嬷	05B37	07283
藦	085E6	07284
饃	09943	07285
𨟖	287D6	07286
蘑	08611	07287
嚩	056A9	07288
譕	08B55	07289
䯢	04BE2	07290
魔	09B54	07291
劘	05298	07292
䊳	042B3	07293
抹	062B9	07294
懡	061E1	07295
䩋	04A4B	07296
末	0672B	07297
圽	0573D	07298
没	06CA1	07299
𤤄	24904	07300
茉	08309	07301
歾	06B7E	07302
殁	06B81	07303
帓	05E13	07304
帕	05E15	07305
沫	06CAB	07306
陌	0964C	07307
妺	059BA	07308
枺	067BA	07309
㹮	03E6E	07310
莫	083AB	07311
眜	0771C	07312
秣	079E3	07313
袜	0889C	07314
眽	0773D	07315
蛨	086E8	07316
嗼	055FC	07317
貊	08C8A	07318
䬴	04B34	07319
獏	0734F	07320
漠	06F20	07321
寞	05BDE	07322
靺	0977A	07323
暯	066AF	07324
瞙	07799	07325
嘿	0563F	07326
墨	058A8	07327
瘼	0763C	07328
𩿣	29FE3	07329
𩢷	298B7	07330
默	09ED8	07331
縸	07E38	07332
藐	085D0	07333
貘	08C98	07334
瀎	0700E	07335
蟔	087D4	07336
鏌	093CC	07337
驀	09A40	07338
䳮	04CEE	07339
礳	07933	07340
䘃	04603	07341
纆	07E86	07342
耱	08031	07343
䃺	040FA	07344
牟	0725F	07345
侔	04F94	07346
恈	06048	07347
桙	06859	07348
眸	07738	07349
堥	05825	07350
鉾	0927E	07351
謀	08B00	07352
麰	09EB0	07353
鴾	09D3E	07354
鍪	0936A	07355
繆	07E46	07356
𪍓	2A353	07357
某	067D0	07358
𢜯	2272F	07359
氁	06C01	07360
𨡭	2886D	07361
𨢢	288A2	07362
母	06BCD	07363
牡	07261	07364
坶	05776	07365
拇	062C7	07366
姆	059C6	07367
姥	059E5	07368
畝	0755D	07369
娒	05A12	07370
鉧	09267	07371
踇	08E07	07372
䥈	04948	07373
木	06728	07374
目	076EE	07375
沐	06C90	07376
苜	082DC	07377
牧	07267	07378
蚞	0869E	07379
毣	06BE3	07380
𦱒	26C52	07381
募	052DF	07382
墓	05893	07383
幕	05E55	07384
睦	07766	07385
楘	06958	07386
慕	06155	07387
暮	066AE	07388
霂	09702	07389
艒	08252	07390
穆	07A46	07391
鞪	097AA	07392
㕶	03576	07393
拏	062CF	07394
拿	062FF	07395
挐	06310	07396
𧘽	2763D	07397
肭	080AD	07398
衲	08872	07399
娜	05A1C	07400
納	07D0D	07401
捺	0637A	07402
軜	08EDC	07403
豽	08C7D	07404
貀	08C80	07405
蒳	084B3	07406
魶	09B76	07407
𩹾	29E7E	07408
䍲	04372	07409
孻	05B7B	07410
乃	04E43	07411
奶	05976	07412
迺	08FFA	07413
嬭	05B2D	07414
奈	05948	07415
柰	067F0	07416
耐	08010	07417
㮈	03B88	07418
㮏	03B8F	07419
鼐	09F10	07420
褦	08926	07421
螚	0879A	07422
囡	056E1	07423
男	07537	07424
南	05357	07425
柟	067DF	07426
䛁	046C1	07427
喃	05583	07428
楠	06960	07429
諵	08AF5	07430
難	096E3	07431
戁	06201	07432
赧	08D67	07433
𧹞	27E5E	07434
湳	06E73	07435
腩	08169	07436
蝻	0877B	07437
妠	059A0	07438
𦗳	265F3	07439
囊	056CA	07440
饢	09962	07441
曩	066E9	07442
攮	0652E	07443
灢	07062	07444
呶	05476	07445
怓	06013	07446
峱	05CF1	07447
硇	07847	07448
猱	07331	07449
詉	08A49	07450
撓	06493	07451
橈	06A48	07452
憹	061B9	07453
蟯	087EF	07454
譊	08B4A	07455
鐃	09403	07456
𠜶	20736	07457
堖	05816	07458
惱	060F1	07459
瑙	07459	07460
𨱵	28C75	07461
腦	08166	07462
淖	06DD6	07463
鬧	09B27	07464
臑	081D1	07465
疒	07592	07466
抐	06290	07467
呐	05450	07468
眲	07732	07469
訥	08A25	07470
浽	06D7D	07471
腇	08147	07472
𩛞	296DE	07473
餒	09912	07474
餧	09927	07475
内	05185	07476
媆	05A86	07477
腝	0815D	07478
嫩	05AE9	07479
能	080FD	07480
妮	059AE	07481
尼	05C3C	07482
呢	05462	07483
泥	06CE5	07484
怩	06029	07485
郳	090F3	07486
倪	0502A	07487
猊	0730A	07488
埿	057FF	07489
婗	05A57	07490
蛪	086EA	07491
跜	08DDC	07492
䝚	0475A	07493
䛏	046CF	07494
䘽	0463D	07495
蜺	0873A	07496
輗	08F17	07497
霓	09713	07498
鯢	09BE2	07499
麑	09E91	07500
齯	09F6F	07501
臡	081E1	07502
你	04F60	07503
伲	04F32	07504
坭	0576D	07505
抳	062B3	07506
苨	082E8	07507
狔	072D4	07508
柅	067C5	07509
掜	0639C	07510
旎	065CE	07511
晲	06672	07512
儞	0511E	07513
儗	05117	07514
擬	064EC	07515
薿	085BF	07516
禰	079B0	07517
聻	0807B	07518
𩰞	29C1E	07519
氼	06C3C	07520
㲻	03CBB	07521
昵	06635	07522
胒	080D2	07523
𨒫	284AB	07524
逆	09006	07525
匿	0533F	07526
𨺙	28E99	07527
堄	05804	07528
惄	060C4	07529
睨	07768	07530
溺	06EBA	07531
愵	06135	07532
孴	05B74	07533
嫟	05ADF	07534
𣘗	23617	07535
暱	066B1	07536
䵑	04D51	07537
誽	08ABD	07538
縌	07E0C	07539
膩	081A9	07540
㵫	03D6B	07541
𨽦	28F66	07542
拈	062C8	07543
蔫	0852B	07544
年	05E74	07545
粘	07C98	07546
䴴	04D34	07547
鮎	09B8E	07548
黏	09ECF	07549
鯰	09BF0	07550
涊	06D8A	07551
跈	08DC8	07552
輦	08F26	07553
撚	0649A	07554
碾	078BE	07555
蹍	08E4D	07556
攆	06506	07557
𪑮	2A46E	07558
廿	05EFF	07559
念	05FF5	07560
𥮘	25B98	07561
艌	0824C	07562
娘	05A18	07563
孃	05B43	07564
釀	091C0	07565
䖆	04586	07566
鳥	09CE5	07567
䦊	0498A	07568
裊	088CA	07569
嫋	05ACB	07570
蔦	08526	07571
樢	06A22	07572
褭	0892D	07573
嬝	05B1D	07574
嬲	05B32	07575
尿	05C3F	07576
捏	0634F	07577
捻	0637B	07578
苶	082F6	07579
㘝	0361D	07580
㘨	03628	07581
㚔	03694	07582
陧	09667	07583
臬	081EC	07584
痆	075C6	07585
涅	06D85	07586
𡸣	21E23	07587
䇣	041E3	07588
棿	068FF	07589
喦	055A6	07590
敜	0655C	07591
嵲	05D72	07592
踂	08E02	07593
槷	069F7	07594
摰	06470	07595
篞	07BDE	07596
臲	081F2	07597
錜	0931C	07598
䭃	04B43	07599
聶	08076	07600
闑	095D1	07601
鎳	093B3	07602
孽	05B7D	07603
㜸	03738	07604
䌜	0431C	07605
蘖	08616	07606
齧	09F67	07607
囁	056C1	07608
糵	07CF5	07609
𦣀	268C0	07610
蠥	08825	07611
囓	056D3	07612
𡿖	21FD6	07613
䌰	04330	07614
躡	08EA1	07615
讘	08B98	07616
鑷	09477	07617
顳	09873	07618
䡾	0487E	07619
䯀	04BC0	07620
钀	09480	07621
您	060A8	07622
寧	05BE7	07623
儜	0511C	07624
凝	051DD	07625
擰	064F0	07626
薴	085B4	07627
嚀	05680	07628
獰	07370	07629
檸	06AB8	07630
㲰	03CB0	07631
聹	08079	07632
𧭈	27B48	07633
鬡	09B21	07634
鸋	09E0B	07635
䗿	045FF	07636
𩕳	29573	07637
佞	04F5E	07638
甯	0752F	07639
䔭	0452D	07640
濘	06FD8	07641
妞	0599E	07642
牛	0725B	07643
𩵠	29D60	07644
扭	0626D	07645
狃	072C3	07646
忸	05FF8	07647
杻	0677B	07648
䏔	043D4	07649
莥	083A5	07650
紐	07D10	07651
鈕	09215	07652
農	08FB2	07653
儂	05102	07654
噥	05665	07655
㺜	03E9C	07656
濃	06FC3	07657
膿	081BF	07658
禯	079AF	07659
穠	07A60	07660
襛	0895B	07661
醲	091B2	07662
繷	07E77	07663
弄	05F04	07664
齈	09F48	07665
㝹	03779	07666
譨	08B68	07667
羺	07FBA	07668
䨲	04A32	07669
耨	08028	07670
獳	07373	07671
檽	06ABD	07672
譳	08B73	07673
奴	05974	07674
孥	05B65	07675
笯	07B2F	07676
駑	099D1	07677
努	052AA	07678
弩	05F29	07679
砮	0782E	07680
怒	06012	07681
傉	05089	07682
女	05973	07683
籹	07C79	07684
沑	06C91	07685
恧	06067	07686
衄	08844	07687
朒	06712	07688
𦓖	264D6	07689
渜	06E1C	07690
暖	06696	07691
𪋯	2A2EF	07692
虐	08650	07693
瘧	07627	07694
黁	09EC1	07695
那	090A3	07696
挪	0632A	07697
哪	054EA	07698
㔮	0352E	07699
儺	0513A	07700
𡛣	216E3	07701
掿	063BF	07702
搦	06426	07703
榒	06992	07704
𦂍	2608D	07705
諾	08AFE	07706
懦	061E6	07707
懧	061E7	07708
糯	07CEF	07709
塸	05878	07710
蓲	084F2	07711
嘔	05614	07712
甌	0750C	07713
𢿛	22FDB	07714
毆	06BC6	07715
膒	08192	07716
熰	071B0	07717
櫙	06AD9	07718
謳	08B33	07719
鏂	093C2	07720
鷗	09DD7	07721
齵	09F75	07722
𠙶	20676	07723
偶	05076	07724
腢	08162	07725
耦	08026	07726
歐	06B50	07727
藕	085D5	07728
漚	06F1A	07729
慪	0616A	07730
𤽉	24F49	07731
葩	08469	07732
杷	06777	07733
爬	0722C	07734
琶	07436	07735
掱	063B1	07736
筢	07B62	07737
潖	06F56	07738
帊	05E0A	07739
怕	06015	07740
袙	08899	07741
拍	062CD	07742
俳	04FF3	07743
排	06392	07744
徘	05F98	07745
牌	0724C	07746
𥱼	25C7C	07747
簰	07C30	07748
犤	072A4	07749
派	06D3E	07750
湃	06E43	07751
扳	06273	07752
拌	062CC	07753
潘	06F58	07754
㽃	03F43	07755
攀	06500	07756
柈	067C8	07757
般	0822C	07758
跘	08DD8	07759
媻	05ABB	07760
槃	069C3	07761
磐	078D0	07762
盤	076E4	07763
縏	07E0F	07764
𨃟	280DF	07765
𨃞	280DE	07766
蹣	08E63	07767
蟠	087E0	07768
鎜	0939C	07769
鞶	097B6	07770
闆	095C6	07771
判	05224	07772
沜	06C9C	07773
泮	06CEE	07774
盼	076FC	07775
牉	07249	07776
胖	080D6	07777
叛	053DB	07778
畔	07554	07779
頖	09816	07780
鋬	092EC	07781
襻	0897B	07782
胮	080EE	07783
䏺	043FA	07784
雱	096F1	07785
滂	06EC2	07786
磅	078C5	07787
𩐨	29428	07788
鎊	0938A	07789
逄	09004	07790
旁	065C1	07791
趽	08DBD	07792
傍	0508D	07793
膀	08180	07794
𩃎	290CE	07795
䅭	0416D	07796
螃	08783	07797
龐	09F90	07798
抛	0629B	07799
泡	06CE1	07800
脬	0812C	07801
㯱	03BF1	07802
藨	085E8	07803
刨	05228	07804
咆	05486	07805
狍	072CD	07806
庖	05E96	07807
炮	070AE	07808
瓟	074DF	07809
袍	0888D	07810
匏	0530F	07811
跑	08DD1	07812
鞄	09784	07813
麃	09E83	07814
麅	09E85	07815
奅	05945	07816
砲	07832	07817
疱	075B1	07818
皰	076B0	07819
𣶐	23D90	07820
䶌	04D8C	07821
礮	0792E	07822
呸	05478	07823
胚	080DA	07824
衃	08843	07825
㾦	03FA6	07826
醅	09185	07827
阫	0962B	07828
陪	0966A	07829
培	057F9	07830
毰	06BF0	07831
裴	088F4	07832
𨛬	286EC	07833
賠	08CE0	07834
𨙶	28676	07835
沛	06C9B	07836
㤄	03904	07837
佩	04F69	07838
配	0914D	07839
旆	065C6	07840
浿	06D7F	07841
霈	09708	07842
轡	08F61	07843
噴	05674	07844
盆	076C6	07845
葐	08450	07846
湓	06E53	07847
匉	05309	07848
抨	062A8	07849
泙	06CD9	07850
怦	06026	07851
恲	06072	07852
砰	07830	07853
烹	070F9	07854
軯	08EEF	07855
硼	0787C	07856
閛	0959B	07857
漰	06F30	07858
駍	099CD	07859
磞	078DE	07860
芃	08283	07861
朋	0670B	07862
倗	05017	07863
弸	05F38	07864
彭	05F6D	07865
棚	068DA	07866
搒	06412	07867
蓬	084EC	07868
傰	050B0	07869
輣	08F23	07870
澎	06F8E	07871
篷	07BF7	07872
篣	07BE3	07873
膨	081A8	07874
韸	097F8	07875
髼	09AFC	07876
鬅	09B05	07877
䰃	04C03	07878
蟚	087DA	07879
蟛	087DB	07880
鵬	09D6C	07881
鬔	09B14	07882
騯	09A2F	07883
捧	06367	07884
皏	0768F	07885
剻	0527B	07886
䣙	048D9	07887
碰	078B0	07888
𩸀	29E00	07889
丕	04E15	07890
批	06279	07891
邳	090B3	07892
伾	04F3E	07893
坯	0576F	07894
披	062AB	07895
苤	082E4	07896
帔	05E14	07897
狉	072C9	07898
𤿐	24FD0	07899
砒	07812	07900
𣬼	23B3C	07901
秠	079E0	07902
𠜱	20731	07903
悂	06082	07904
翍	07FCD	07905
鈚	0921A	07906
鉟	0925F	07907
鈹	09239	07908
銔	09294	07909
䤨	04928	07910
髬	09AEC	07911
駓	099D3	07912
劈	05288	07913
錍	0930D	07914
魾	09B7E	07915
鮍	09B8D	07916
𩣚	298DA	07917
礕	07915	07918
霹	09739	07919
𪄆	2A106	07920
皮	076AE	07921
阰	09630	07922
芘	08298	07923
㓟	034DF	07924
枇	06787	07925
岯	05CAF	07926
狓	072D3	07927
毗	06BD7	07928
蚍	0868D	07929
笓	07B13	07930
郫	090EB	07931
疲	075B2	07932
陴	09674	07933
紕	07D15	07934
埤	057E4	07935
啤	05564	07936
崥	05D25	07937
𦨭	26A2D	07938
琵	07435	07939
椑	06911	07940
脾	0813E	07941
痺	075FA	07942
㮰	03BB0	07943
蜱	08731	07944
魮	09B6E	07945
䲹	04CB9	07946
篺	07BFA	07947
貔	08C94	07948
鵧	09D67	07949
羆	07F86	07950
鼙	09F19	07951
蠯	0882F	07952
匹	05339	07953
庀	05E80	07954
圮	0572E	07955
仳	04EF3	07956
痞	075DE	07957
鴄	09D04	07958
擗	064D7	07959
䫌	04ACC	07960
癖	07656	07961
嚭	056AD	07962
屁	05C41	07963
萆	08406	07964
淠	06DE0	07965
揊	063CA	07966
睥	07765	07967
辟	08F9F	07968
媲	05AB2	07969
㨽	03A3D	07970
潎	06F4E	07971
䡟	0485F	07972
僻	050FB	07973
澼	06FBC	07974
嚊	0568A	07975
濞	06FDE	07976
甓	07513	07977
䊧	042A7	07978
䡶	04876	07979
譬	08B6C	07980
闢	095E2	07981
鷿	09DFF	07982
偏	0504F	07983
媥	05AA5	07984
犏	0728F	07985
篇	07BC7	07986
翩	07FE9	07987
鶣	09DA3	07988
胼	080FC	07989
㛹	036F9	07990
楩	06969	07991
楄	06944	07992
㼐	03F10	07993
𧍲	27372	07994
骿	09ABF	07995
緶	07DF6	07996
駢	099E2	07997
蹁	08E41	07998
諞	08ADE	07999
𪘀	2A600	08000
片	07247	08001
騙	09A19	08002
票	07968	08003
剽	0527D	08004
彯	05F6F	08005
嘌	0560C	08006
漂	06F02	08007
慓	06153	08008
翲	07FF2	08009
螵	087B5	08010
飄	098C4	08011
嫖	05AD6	08012
瓢	074E2	08013
薸	085B8	08014
殍	06B8D	08015
膘	08198	08016
瞟	0779F	08017
篻	07BFB	08018
縹	07E39	08019
醥	091A5	08020
顠	09860	08021
皫	076AB	08022
僄	050C4	08023
瞥	077A5	08024
撇	06487	08025
䥕	04955	08026
嫳	05AF3	08027
𤮕	24B95	08028
拼	062FC	08029
砏	0780F	08030
姘	059D8	08031
驞	09A5E	08032
玭	073AD	08033
貧	08CA7	08034
頻	0983B	08035
嬪	05B2A	08036
𠐺	2043A	08037
蘋	0860B	08038
矉	077C9	08039
顰	09870	08040
品	054C1	08041
牝	0725D	08042
聘	08058	08043
俜	04FDC	08044
砯	0782F	08045
娉	05A09	08046
竮	07AEE	08047
頩	09829	08048
平	05E73	08049
坪	0576A	08050
苹	082F9	08051
郱	090F1	08052
荓	08353	08053
枰	067B0	08054
帡	05E21	08055
洴	06D34	08056
屏	05C4F	08057
㻂	03EC2	08058
瓶	074F6	08059
萍	0840D	08060
蚲	086B2	08061
淜	06DDC	08062
蓱	084F1	08063
蛢	086E2	08064
評	08A55	08065
馮	099AE	08066
軿	08EFF	08067
鮃	09B83	08068
㵗	03D57	08069
憑	06191	08070
坡	05761	08071
岥	05CA5	08072
頗	09817	08073
潑	06F51	08074
醱	091B1	08075
鏺	093FA	08076
婆	05A46	08077
搫	0642B	08078
鄱	09131	08079
謈	08B08	08080
皤	076A4	08081
叵	053F5	08082
尀	05C00	08083
駊	099CA	08084
朴	06734	08085
迫	08FEB	08086
狛	072DB	08087
珀	073C0	08088
昢	06622	08089
破	07834	08090
哱	054F1	08091
烞	070DE	08092
粕	07C95	08093
䞟	0479F	08094
奤	05964	08095
蒪	084AA	08096
猼	0733C	08097
魄	09B44	08098
膊	0818A	08099
𢶉	22D89	08100
𩔈	29508	08101
剖	05256	08102
抔	06294	08103
垺	057BA	08104
捊	0634A	08105
掊	0638A	08106
裒	088D2	08107
錇	09307	08108
㩠	03A60	08109
攴	06534	08110
仆	04EC6	08111
扑	06251	08112
痡	075E1	08113
𨁏	2804F	08114
撲	064B2	08115
舖	08216	08116
鋪	092EA	08117
鯆	09BC6	08118
䲕	04C95	08119
匍	0530D	08120
葡	08461	08121
蒱	084B1	08122
蒲	084B2	08123
酺	0917A	08124
僕	050D5	08125
墣	058A3	08126
璞	0749E	08127
濮	06FEE	08128
襆	08946	08129
鏷	093F7	08130
纀	07E80	08131
埔	057D4	08132
莆	08386	08133
圃	05703	08134
浦	06D66	08135
普	0666E	08136
溥	06EA5	08137
𠽾	20F7E	08138
樸	06A38	08139
氆	06C06	08140
蹼	08E7C	08141
譜	08B5C	08142
曝	066DD	08143
七	04E03	08144
妻	059BB	08145
柒	067D2	08146
栖	06816	08147
郪	090EA	08148
倛	0501B	08149
㩻	03A7B	08150
凄	051C4	08151
萋	0840B	08152
桼	0687C	08153
戚	0621A	08154
淒	06DD2	08155
悽	060BD	08156
娸	05A38	08157
期	0671F	08158
欺	06B3A	08159
欹	06B39	08160
㱦	03C66	08161
喰	055B0	08162
䣛	048DB	08163
傶	050B6	08164
榿	069BF	08165
僛	050DB	08166
漆	06F06	08167
慽	0617D	08168
緀	07DC0	08169
㯃	03BC3	08170
慼	0617C	08171
𥉐	25250	08172
踦	08E26	08173
諆	08AC6	08174
緝	07DDD	08175
霋	0970B	08176
諿	08AFF	08177
䫏	04ACF	08178
䗩	045E9	08179
魌	09B4C	08180
𧒕	27495	08181
鏚	093DA	08182
亓	04E93	08183
𨸔	28E14	08184
𨙸	28678	08185
祁	07941	08186
圻	0573B	08187
芪	082AA	08188
岐	05C90	08189
忯	05FEF	08190
其	05176	08191
奇	05947	08192
歧	06B67	08193
肵	080B5	08194
祈	07948	08195
祇	07947	08196
𠁭	2006D	08197
疧	075A7	08198
耆	08006	08199
蚑	08691	08200
蚚	0869A	08201
旂	065C2	08202
埼	057FC	08203
萁	08401	08204
軝	08EDD	08205
畦	07566	08206
跂	08DC2	08207
崎	05D0E	08208
淇	06DC7	08209
琪	0742A	08210
琦	07426	08211
棋	068CB	08212
祺	0797A	08213
隑	09691	08214
碕	07895	08215
鬿	09B3F	08216
頎	0980E	08217
𤷍	24DCD	08218
愭	0612D	08219
綦	07DA6	08220
蜞	0871E	08221
䅩	04169	08222
齊	09F4A	08223
旗	065D7	08224
璂	07482	08225
錡	09321	08226
藄	085C4	08227
鮨	09BA8	08228
濝	06FDD	08229
懠	061E0	08230
騏	09A0F	08231
騎	09A0E	08232
臍	081CD	08233
蘄	08604	08234
鵸	09D78	08235
鶀	09D80	08236
鯕	09BD5	08237
麒	09E92	08238
𩴆	29D06	08239
鬐	09B10	08240
蠐	08810	08241
騹	09A39	08242
鰭	09C2D	08243
𧰙	27C19	08244
玂	07382	08245
麡	09EA1	08246
乞	04E5E	08247
𨙬	2866C	08248
芑	08291	08249
屺	05C7A	08250
企	04F01	08251
玘	07398	08252
杞	0675E	08253
呇	05447	08254
起	08D77	08255
豈	08C48	08256
啓	05553	08257
婍	05A4D	08258
敧	06567	08259
棨	068E8	08260
䏿	043FF	08261
䡔	04854	08262
綮	07DAE	08263
綺	07DBA	08264
𩠜	2981C	08265
气	06C14	08266
迄	08FC4	08267
汔	06C54	08268
忔	05FD4	08269
芞	0829E	08270
弃	05F03	08271
汽	06C7D	08272
炁	07081	08273
𨒅	28485	08274
泣	06CE3	08275
契	05951	08276
砌	0780C	08277
咠	054A0	08278
氣	06C23	08279
訖	08A16	08280
唭	0552D	08281
葺	0847A	08282
棄	068C4	08283
湇	06E47	08284
𢜱	22731	08285
愒	06112	08286
䁈	04048	08287
摖	06456	08288
碶	078B6	08289
甈	07508	08290
槭	069ED	08291
𨵆	28D46	08292
磧	078E7	08293
磩	078E9	08294
磜	078DC	08295
