#古籍字	Unicode	序号
䪜	04A9C	00918
棎	068CE	00919
孱	05B71	00920
鋋	092CB	00921
獑	07351	00922
誗	08A97	00923
撣	064A3	00924
儃	05103	00925
廛	05EDB	00926
潺	06F7A	00927
嬋	05B0B	00928
磛	078DB	00929
澶	06FB6	00930
毚	06BDA	00931
鄽	0913D	00932
蟬	087EC	00933
𧴃	27D03	00934
瀍	0700D	00935
蟾	087FE	00936
儳	05133	00937
劖	05296	00938
繵	07E75	00939
嚵	056B5	00940
巉	05DC9	00941
瀺	0703A	00942
欃	06B03	00943
纏	07E8F	00944
躔	08E94	00945
讒	08B92	00946
鑱	09471	00947
饞	0995E	00948
丳	04E33	00949
剗	05257	00950
産	07523	00951
剷	05277	00952
嵼	05D7C	00953
滻	06EFB	00954
蕆	08546	00955
幝	05E5D	00956
諂	08AC2	00957
燀	071C0	00958
繟	07E5F	00959
鏟	093DF	00960
闡	095E1	00961
䑎	0444E	00962
囅	056C5	00963
讇	08B87	00964
硟	0785F	00965
摲	06472	00966
懺	061FA	00967
羼	07FBC	00968
韂	097C2	00969
昌	0660C	00970
倀	05000	00971
菖	083D6	00972
猖	07316	00973
娼	05A3C	00974
閶	095B6	00975
鯧	09BE7	00976
鼚	09F1A	00977
長	09577	00978
萇	08407	00979
常	05E38	00980
徜	05F9C	00981
場	05834	00982
腸	08178	00983
嘗	05617	00984
裳	088F3	00985
嫦	05AE6	00986
瑺	0747A	00987
䠆	04806	00988
償	0511F	00989
鱨	09C68	00990
昶	06636	00991
惝	060DD	00992
敞	0655E	00993
廠	05EE0	00994
𢠵	22835	00995
氅	06C05	00996
鋹	092F9	00997
倡	05021	00998
鬯	09B2F	00999
唱	05531	01000
淌	06DCC	01001
悵	060B5	01002
暢	066A2	01003
畼	0757C	01004
韔	097D4	01005
抄	06284	01006
怊	0600A	01007
弨	05F28	01008
訬	08A2C	01009
超	08D85	01010
鈔	09214	01011
罺	07F7A	01012
晁	06641	01013
巢	05DE2	01014
鄛	0911B	01015
漅	06F05	01016
樔	06A14	01017
嘲	05632	01018
潮	06F6E	01019
窲	07AB2	01020
轈	08F48	01021
鼂	09F02	01022
吵	05435	01023
炒	07092	01024
煼	0717C	01025
麨	09EA8	01026
耖	08016	01027
車	08ECA	01028
唓	05513	01029
𤥭	2496D	01030
硨	07868	01031
蛼	086FC	01032
扯	0626F	01033
屮	05C6E	01034
坼	0577C	01035
𥿊	25FCA	01036
䞣	047A3	01037
硩	07869	01038
掣	063A3	01039
𤊿	242BF	01040
撤	064A4	01041
徹	05FB9	01042
澈	06F88	01043
䚢	046A2	01044
抻	062BB	01045
郴	090F4	01046
捵	06375	01047
琛	0741B	01048
棽	068FD	01049
䐜	0441C	01050
綝	07D9D	01051
瞋	0778B	01052
賝	08CDD	01053
𤡳	24873	01054
謓	08B13	01055
臣	081E3	01056
辰	08FB0	01057
沉	06C89	01058
忱	05FF1	01059
莐	08390	01060
宸	05BB8	01061
陳	09673	01062
桭	0686D	01063
晨	06668	01064
愖	06116	01065
蔯	0852F	01066
煁	07141	01067
樄	06A04	01068
塵	05875	01069
敶	06576	01070
霃	09703	01071
諶	08AF6	01072
螴	087B4	01073
麎	09E8E	01074
趻	08DBB	01075
𧿒	27FD2	01076
墋	0588B	01077
磣	078E3	01078
踸	08E38	01079
鍖	09356	01080
疢	075A2	01081
趁	08D81	01082
齔	09F54	01083
儭	0512D	01084
嚫	056AB	01085
櫬	06AEC	01086
襯	0896F	01087
䞋	0478B	01088
讖	08B96	01089
琤	07424	01090
棦	068E6	01091
偁	05041	01092
庱	05EB1	01093
䟫	047EB	01094
摚	0645A	01095
䞓	04793	01096
稱	07A31	01097
撑	06491	01098
樘	06A18	01099
噌	0564C	01100
赬	08D6C	01101
橖	06A56	01102
瞠	077A0	01103
檉	06A89	01104
竀	07AC0	01105
蟶	087F6	01106
朾	0673E	01107
成	06210	01108
丞	04E1E	01109
呈	05448	01110
郕	090D5	01111
承	0627F	01112
城	057CE	01113
宬	05BAC	01114
埕	057D5	01115
乘	04E58	01116
珵	073F5	01117
掁	06381	01118
盛	076DB	01119
脭	0812D	01120
揨	063E8	01121
棖	068D6	01122
程	07A0B	01123
筬	07B6C	01124
裎	088CE	01125
塍	0584D	01126
誠	08AA0	01127
酲	09172	01128
鋮	092EE	01129
澂	06F82	01130
澄	06F84	01131
憕	06195	01132
橙	06A59	01133
