#漢字	Unicode	序號	備注
突	7A81	2938	
窄	7A84	2939	
窈	7A88	2940	
窒	7A92	2941	
窕	7A95	2942	
窘	7A98	2943	
窗	7A97	2944	
窖	7A96	2945	
窟	7A9F	2946	
窠	7AA0	2947	
窪	7AAA	2948	
窩	7AA9	2949	
窯	7AAF	2950	
窮	7AAE	2951	
窺	7ABA	2952	
竄	7AC4	2953	
竅	7AC5	2954	
竇	7AC7	2955	
竊	7ACA	2956	
立	7ACB	2957	
站	7AD9	2958	
童	7AE5	2959	
竣	7AE3	2960	
竭	7AED	2961	
端	7AEF	2962	
競	7AF6	2963	
竹	7AF9	2964	
竺	7AFA	2965	
竿	7AFF	2966	
竽	7AFD	2967	
笆	7B06	2968	
笑	7B11	2969	
笠	7B20	2970	
笨	7B28	2971	
第	7B2C	2972	
笛	7B1B	2973	
符	7B26	2974	
笙	7B19	2975	
笞	7B1E	2976	
等	7B49	2977	
策	7B56	2978	
筆	7B46	2979	
筐	7B50	2980	
筒	7B52	2981	
答	7B54	2982	
筍	7B4D	2983	
筋	7B4B	2984	
筏	7B4F	2985	
筷	7B77	2986	
節	7BC0	2987	
筠	7B60	2988	
管	7BA1	2989	
箔	7B94	2990	
箕	7B95	2991	
箋	7B8B	2992	
筵	7B75	2993	
箝	7B9D	2994	
算	7B97	2995	
箏	7B8F	2996	
箭	7BAD	2997	
篇	7BC7	2998	
箱	7BB1	2999	
範	7BC4	3000	
箴	7BB4	3001	
篆	7BC6	3002	
篁	7BC1	3003	
篙	7BD9	3004	
築	7BC9	3005	
篤	7BE4	3006	
篡	7BE1	3007	
篩	7BE9	3008	
簇	7C07	3009	
簍	7C0D	3010	
篾	7BFE	3011	
篷	7BF7	3012	
簧	7C27	3013	
簪	7C2A	3014	
簡	7C21	3015	
簞	7C1E	3016	
簣	7C23	3017	
簫	7C2B	3018	
簾	7C3E	3019	
簿	7C3F	3020	
簸	7C38	3021	
簽	7C3D	3022	
簷	7C37	3023	
籃	7C43	3024	
籌	7C4C	3025	
籍	7C4D	3026	
籟	7C5F	3027	
籠	7C60	3028	
籤	7C64	3029	
籬	7C6C	3030	
籮	7C6E	3031	
籲	7C72	3032	
米	7C73	3033	
粉	7C89	3034	
粒	7C92	3035	
粗	7C97	3036	
粕	7C95	3037	
粟	7C9F	3038	
粥	7CA5	3039	
粱	7CB1	3040	
粳	7CB3	3041	
粵	7CB5	3042	
粺	7CBA	3043	
粽	7CBD	3044	⿰米宗
糉	7CC9	3044V	⿰米㚇
精	7CBE	3045	
糊	7CCA	3046	
糕	7CD5	3047	
糖	7CD6	3048	
糠	7CE0	3049	
糜	7CDC	3050	
糟	7CDF	3051	
糞	7CDE	3052	
糢	7CE2	3053	
糙	7CD9	3054	
糧	7CE7	3055	
糯	7CEF	3056	
系	7CFB	3057	
糾	7CFE	3058	
紂	7D02	3059	
紅	7D05	3060	
紀	7D00	3061	
紉	7D09	3062	
紇	7D07	3063	
約	7D04	3064	
紡	7D21	3065	
紊	7D0A	3066	
紋	7D0B	3067	
素	7D20	3068	
索	7D22	3069	
純	7D14	3070	
紐	7D10	3071	
紕	7D15	3072	
紜	7D1C	3073	
紗	7D17	3074	
納	7D0D	3075	
級	7D1A	3076	
紙	7D19	3077	
紛	7D1B	3078	
絆	7D46	3079	
絃	7D43	3080	
紮	7D2E	3081	
紹	7D39	3082	
紼	7D3C	3083	
絀	7D40	3084	
細	7D30	3085	
紳	7D33	3086	
組	7D44	3087	
累	7D2F	3088	
終	7D42	3089	
統	7D71	3090	
絞	7D5E	3091	
結	7D50	3092	
絨	7D68	3093	
絕	7D55	3094	
紫	7D2B	3095	
絮	7D6E	3096	
絲	7D72	3097	
絡	7D61	3098	
給	7D66	3099	
絢	7D62	3100	
經	7D93	3101	
絹	7D79	3102	
綑	7D91	3103	
綁	7D81	3104	
綏	7D8F	3105	
綻	7DBB	3106	
綰	7DB0	3107	
綜	7D9C	3108	
綾	7DBE	3109	
綴	7DB4	3110	
綺	7DBA	3111	
緒	7DD2	3112	
綽	7DBD	3113	
網	7DB2	3114	
綱	7DB1	3115	
緊	7DCA	3116	
綠	7DA0	3117	
綢	7DA2	3118	
綿	7DBF	3119	
綵	7DB5	3120	
綸	7DB8	3121	
維	7DAD	3122	
緇	7DC7	3123	
締	7DE0	3124	
編	7DE8	3125	
練	7DF4	3126	
緯	7DEF	3127	
緻	7DFB	3128	
緬	7DEC	3129	
緝	7DDD	3130	
緘	7DD8	3131	
緣	7DE3	3132	
