#漢字	Unicode	序號	備注
髒	9AD2	4620	
髓	9AD3	4621	
體	9AD4	4622	
高	9AD8	4623	
髦	9AE6	4624	
髮	9AEE	4625	
髯	9AEF	4626	
髻	9AFB	4627	
髭	9AED	4628	
鬃	9B03	4629	
鬆	9B06	4630	
鬍	9B0D	4631	
鬚	9B1A	4632	
鬢	9B22	4633	
鬥	9B25	4634	
鬧	9B27	4635	
鬨	9B28	4636	
鬱	9B31	4637	
鬼	9B3C	4638	
魁	9B41	4639	
魂	9B42	4640	
魅	9B45	4641	
魄	9B44	4642	
魏	9B4F	4643	
魔	9B54	4644	
魘	9B58	4645	
魚	9B5A	4646	
魷	9B77	4647	
魯	9B6F	4648	
鮑	9B91	4649	
鮮	9BAE	4650	
鮫	9BAB	4651	
鯊	9BCA	4652	
鯽	9BFD	4653	
鯉	9BC9	4654	
鯨	9BE8	4655	
鰓	9C13	4656	
鰍	9C0D	4657	
鰭	9C2D	4658	
鰥	9C25	4659	
鰱	9C31	4660	
鰾	9C3E	4661	
鰻	9C3B	4662	
鱔	9C54	4663	
鱗	9C57	4664	
鱖	9C56	4665	
鱷	9C77	4666	
鱸	9C78	4667	
鳥	9CE5	4668	
鳩	9CE9	4669	
鳶	9CF6	4670	
鳴	9CF4	4671	
鳳	9CF3	4672	
鴆	9D06	4673	
鴉	9D09	4674	
鴕	9D15	4675	
鴣	9D23	4676	
鴦	9D26	4677	
鴨	9D28	4678	
鴛	9D1B	4679	
鴻	9D3B	4680	
鴿	9D3F	4681	
鵑	9D51	4682	
鵝	9D5D	4683	
鵠	9D60	4684	
鶉	9D89	4685	
鵡	9D61	4686	
鵲	9D72	4687	
鵪	9D6A	4688	
鵬	9D6C	4689	
鶯	9DAF	4690	
鶴	9DB4	4691	
鷂	9DC2	4692	
鷓	9DD3	4693	
鷗	9DD7	4694	
鷥	9DE5	4695	
鷹	9DF9	4696	
鷺	9DFA	4697	
鸚	9E1A	4698	
鸞	9E1E	4699	
鹵	9E75	4700	
鹹	9E79	4701	
鹽	9E7D	4702	
鹼	9E7C	4703	
鹿	9E7F	4704	
麋	9E8B	4705	
麒	9E92	4706	
麗	9E97	4707	
麓	9E93	4708	
麝	9E9D	4709	
麟	9E9F	4710	
麥	9EA5	4711	
麩	9EA9	4712	
麪	9EAA	4713	
麴	9EB4	4714	
麻	9EBB	4715	
麼	9EBC	4716	⿸麻幺
麽	9EBD	4716T	⿸麻么
麾	9EBE	4717	
黃	9EC3	4718	
黍	9ECD	4719	
黎	9ECE	4720	
黏	9ECF	4721	
黑	9ED1	4722	
墨	58A8	4723	
默	9ED8	4724	
黔	9ED4	4725	
點	9EDE	4726	
黜	9EDC	4727	
黝	9EDD	4728	
黛	9EDB	4729	
黠	9EE0	4730	
黨	9EE8	4731	
黯	9EEF	4732	
黴	9EF4	4733	
黷	9EF7	4734	
鼈	9F08	4735	
鼇	9F07	4736	
鼎	9F0E	4737	
鼓	9F13	4738	
鼕	9F15	4739	
鼙	9F19	4740	
鼠	9F20	4741	
鼬	9F2C	4742	
鼴	9F34	4743	
鼻	9F3B	4744	
鼾	9F3E	4745	
齊	9F4A	4746	
齋	9F4B	4747	
齒	9F52	4748	
齟	9F5F	4749	
齣	9F63	4750	
齡	9F61	4751	
齦	9F66	4752	
齬	9F6C	4753	
齪	9F6A	4754	
齷	9F77	4755	
齲	9F72	4756	
龍	9F8D	4757	
龔	9F94	4758	
龜	9F9C	4759	
